,4. TRIFD,REGISTRY_ID
0,9970WCLSKN157RI,110071731524
1,99611TSRLSMILE2,110017413299
2,9970WGLDNV119HH,110064086509
3,9978WMNHCHALASK,110071428260
4,99743HLYPW25MIL,110000602250
5,99619SCSTGCOAST,110064071506
6,99515VNWTR590E1,110000491762
7,9950WNCHRG1848S,110071044224
8,99901SCSTG1300S,110000885873
9,9950WNRCLS298CM,110070118942
10,9971WPMGLXNNEPR,110070502882
11,9950WNRCLS294CM,110070239261
12,99501TSRLS1522P,110000491735
13,9968WPTRST42EGA,110037576655
14,99705PTRST1200H,110055089149
15,9961WPTRST715SH,110071041965
16,99703DYNTL3564N,110070828170
17,99731DYNTL611E5,110070135405
18,9963WTRDNT12MIL,110009058429
19,99553TRDNTAKUTA,110002003153
20,99661TRDNT229MA,110000707423
21,99574TRDNT31SEA,110041623507
22,99692NSNCXPOUCH,110064064408
23,99686PTRST25MIL,110041977162
24,9980WJNXXX12MTR,110070881785
25,99801KNNCT13401,110032882735
26,99701RRNRG1204F,110041255012
27,99801CRLSK331CL,110055091699
28,99701GRTWS4199S,110000517940
29,99707FRTKN1FORA,110003037883
30,99501MPCLS1076O,110000491735
31,99752RDDGP90MIL,110000601705
32,99737SRMYFRICHA,110070135405
33,9970WMLSNP25HLL,110039075489
34,9961WCRWLY41NWI,110070239281
35,9973WBRDMD2555S,110070618277
36,9973WHLLBR285SP,110070813418
37,9967WHLLBR3584S,110071424992
38,9982WDLTWS118LU,110071042984
39,9970WPTRST1845H,110070667557
40,9955WCRWLY38STA,110054100487
41,99705MPCLS1100H,110044875668
42,9964WCRWLY485EU,110071285345
43,9968WCRWLY15VAL,110070518525
44,9974WSBLLC1RIVE,110002042897
45,99737PGMNX38MIL,110009058802
46,9969WDTCHH1577E,110070881784
47,9975WCRWLY943RD,110070518708
48,36081HNDRS1015B,110000602376
49,35601DKNMRSTATE,110045447469
50,35983CHVTCEWING,110000607807
51,3575WDKYNS9GREE,110070897043
52,35611VGNFD1813W,110001713174
53,35555MRCNLFAYET,110000589140
54,36535SFTYCHWY59,110000369253
55,35403PCFDS3701K,110000523960
56,35023PRCTM3399D,110006548566
57,3500WPRCSN52MAR,110041626103
58,3502WCRMSN15CNC,110071046544
59,35811PPGND1719H,110002447825
60,3560WPLYPL31MAL,110044302242
61,3575WPLRSN749GR,110070106754
62,3650WPMCRG13755,110067013467
63,35403PHFRW4400K,110000367157
64,36427LBMDC123ST,110024422971
65,35653GLDNPCOUNT,110000716413
66,35674GLDNPHWY72,110000367790
67,35622CNGRFHWY31,110000589391
68,35976GLDKS3500L,110000368370
69,35976GLDKS2950L,110000368389
70,36330CNGRBHWY14,110058963849
71,3635WPLGRM142FR,110037574577
72,3596WPLSMN43AIR,110070068249
73,35055CLLMN251CU,110030437418
74,36037RHMMNHARDS,110000499933
75,35466PCFDS2472N,110010103761
76,35234BRMNG4301F,110057474193
77,35967VLCRFVALLE,110000368325
78,36027MRCNBSTATE,110001138769
79,35570NTNBWROUTE,110007914980
80,36505KZCHMUSHIG,110000741243
81,35756DRCTP26655,110014349507
82,35173MRXCR7595G,110000366540
83,3514WMRBLT186AL,110006001922
84,3566WNRTHM1CUNT,110058118727
85,35803CYNCY521GR,110000368003
86,35580BRNRC8425H,110000589266
87,35186LBMPWHWY25,110000589097
88,36521NBRCK715AR,110032984135
89,35898GFCHMBUILD,110056966092
90,35207MRCNC2930N,110000366611
91,35758NXTKN21NEX,110039071875
92,36862STLBM15204,110001713860
93,3653WMRCNC18225,110071286005
94,3657WMRCNC3583S,110071286008
95,36207NRTHM106NA,110000368913
96,36078NPTNWHWY22,110000368557
97,35603TRCST4301H,110000589328
98,35404TSCLS1500H,110042026170
99,35234STHLN3525R,110015783197
100,3560WNDPND2INDE,110058112803
101,36265PRKRHHWY21,110000368940
102,35957PRKRH301WA,110000368307
103,35805PRKRH1005A,110000865127
104,3660WDVSNL845TA,110006788048
105,35007VNTPL700IN,110000365989
106,35555XBDSN719CL,110001712889
107,3651WTHYSS1THYS,110070881484
108,35209BRBRC128BA,110000366693
109,36553LNCRPPOBOX,110037311263
110,36830DNLDS246EN,110057461624
111,35217LLWRT500ME,110025375895
112,36323DRSYT1409H,110000369100
113,35442LDCST774HW,110041927145
114,36582BLCKS4751H,110031019341
115,36614JNSCH1200J,110000746934
116,3595WKFDSL5USHI,110070942985
117,3595WKFDSL13QUA,110070942984
118,35660CCDNTPOBOX,110000367736
119,3656WTHYSS1THYS,110048959221
120,35217BCCKDRAILR,110000366817
121,36874DDLYL8775H,110012705607
122,36303DNBRT1101T,110002373388
123,35125DGLSM300IN,110012192554
124,3518WCXWDF181BU,110031288844
125,3595WPRVDN65MUR,110070814098
126,3611WPRGRS165HI,110070247119
127,36081SNDRSHENDE,110070828269
128,35601CHRTMRT2SH,110000604908
129,3565WBBRDW15191,
130,36612SFTYK3023D,110003029543
131,35811SFTYK2221H,110000589453
132,35061SFTYK1002H,110000608646
133,36752GPLSTONEPL,110017438762
134,3565WSTHRN137HW,110063021037
135,36340RLBLNHWY27,110025378589
136,36608NNMTL8375Z,110003377587
137,3505WRYLTC23CUN,110067405702
138,35020CHMST3021D,110013287772
139,3502WRYLSW3995P,110071410421
140,36522GLFCSSOUTH,110037297476
141,35125SHLBY108PK,110067040678
142,3520WCMCRB3527B,110070943425
143,36108VMSNC1080W,110000368664
144,36193RHMMN2600E,110000368735
145,3608WRXLMB1946C,110070666899
146,36015NNCMPUSHIG,110010102824
147,35044SPLPNALABA,110056955166
148,36518RCKLNHIGHW,110055053926
149,35124RSRCH402IN,110000366390
150,3565WRSCPR971AL,110010101273
151,36536RHRND1300W,110000369262
152,3511WRNRFR61REN,110040987894
153,3560WMRNNG16116,110011886888
154,3661WRBSSM32AIR,110069343945
155,35630STHST3116K,110000367683
156,36201MNSNT300BI,110000368806
157,3562WSNPNT18771,110042927241
158,3545WSMPTM1799E,110070126158
159,35212SMSTLPOBOX,110013834770
160,36301GNRLL737HO,110000368986
161,36582SKWQB421BD,110067041070
162,36732MDSCT1617A,110000369645
163,3602WCNTRL6887A,110070604331
164,35967WSTNG700EN,110000368343
165,36507CRMPT43300,110001168691
166,35459CHMCLHWY17,110000493074
167,35640CRRWR201TH,110000367718
168,35653THCLTWALNU,110000367727
169,35215MDLND90CAR,110000366782
170,35221BRMNG2601W,110067128361
171,36201FMCCR2101W,110042012014
172,3633WSSSNS81NRT,110001717018
173,3630WSRVCM4566W,110057386564
174,3557WCHMPN2447M,110071730745
175,35573STHRNHWY19,110015865991
176,36590HRSCC4075H,110032605170
177,36425SCTCHHWY21,110007597519
178,36446SCTCH101MA,110012268517
179,3564WCRRWR21BYB,110071675169
180,3630WCVNNT4528W,110003387022
181,36206CNTRL260CE,110006652318
182,36862LBMGRHGHY4,110000589774
183,3563WRDYMX3214R,110009039129
184,3633WRDYMX9852C,110055498215
185,3630WRDYMX269TW,110030466671
186,3500WRDYMX2486H,110069252481
187,3520WRDYMX459FR,110070793204
188,3611WRDYMX4435N,110018900064
189,35971RMMCH38336,110040481467
190,35462STHFRHWY43,110015680468
191,3502WCNSLD2954T,110055620939
192,3502WCNSLD81LAB,110006548940
193,3520WCNSLD1127B,110042978775
194,3574WRDYMX5679H,110070070466
195,3521WQKRTB31CIT,110071433015
196,35594CNTNN2164T,110000367433
197,3631WQLTYF8PWEL,110070281238
198,3637WQLCST7797H,110063845969
199,3610WQLCMS19PAR,110012222638
200,3630WQSXXX23CLU,110063845987
201,3504WCPRST89CSA,110071722044
202,3611WPMPLL2335S,110070068307
203,36048STHSTLOUIS,110067041383
204,35611MLLCNHWY12,110000589346
205,35601NNDST1465N,110003388593
206,36361FRTNDJODIE,110000589587
207,36608LLPLS8201Z,110000493092
208,3522WRMRTL83TIN,110071530164
209,3575WRDYMX4547P,110070889464
210,3608WRMSTR487MN,110070557952
211,36633LBMBLHWY90,110000369583
212,3642WLBMCH31535,110010108953
213,35215LBMCP1501R,110000784919
214,3673WLBMPL97IND,110003373796
215,36470LBMRVOFFHI,110000589612
216,36602TLNTCDUNLA,110006517448
217,3626WLBMSP152ME,110007911894
218,35055MCSHV24007,110000366185
